Cantón;Parroquia;Población;Superficie de la parroquia (km2);Densidad Poblacional
LOJA;EL CISNE;1.639;109;15
LOJA;GUALEL;2.082;100;21
LOJA;JIMBILLA;1.010;102;10
LOJA;MALACATOS;8.669;206;42
LOJA;SAN LUCAS;4.686;157;30
LOJA;SAN PEDRO DE VILCABAMBA;1.305;67;19
LOJA;SANTIAGO;1.051;102;10
LOJA;TAQUIL;3.720;92;40
LOJA;VILCABAMBA;5.516;160;35
LOJA;YANGANA;1.413;268;5
LOJA;QUINARA;1.502;148;10
CALVAS;CARIAMANGA;19.551;349;56
CALVAS;COLAISACA;1.430;193;7
CALVAS;EL LUCERO;2.658;93;28
CALVAS;UTUANA;1.016;117;9
CALVAS;SANGUILLÍN;1.387;99;14
CATAMAYO;CATAMAYO;28.127;148;191
CATAMAYO;EL TAMBO;4.439;203;22
CATAMAYO;GUAYQUICHUMA;293;106;3
CATAMAYO;SAN PEDRO DE LA BENDITA;1.924;147;13
CATAMAYO;ZAMBI;457;49;9
CELICA;CELICA;6.685;238;28
CELICA;CRUZPAMBA;1.165;27;43
CELICA;PÓZUL;3.273;82;40
CELICA;SABANILLA;2.552;139;18
CELICA;TENIENTE MAXIMILIANO RODRÍGUEZ LOAIZA;704;35;20
CHAGUARPAMBA;CHAGUARPAMBA;3.466;101;34
CHAGUARPAMBA;BUENAVISTA;1.193;44;27
CHAGUARPAMBA;EL ROSARIO;382;92;4
CHAGUARPAMBA;SANTA RUFINA;1.211;54;22
CHAGUARPAMBA;AMARILLOS;605;22;28
ESPÍNDOLA;AMALUZA;4.142;123;34
ESPÍNDOLA;BELLAVISTA;2.163;77;28
ESPÍNDOLA;JIMBURA;2.050;97;21
ESPÍNDOLA;SANTA TERESITA;1.450;77;19
ESPÍNDOLA;27 DE ABRIL;1.865;41;45
ESPÍNDOLA;EL INGENIO;1.647;73;23
ESPÍNDOLA;EL AIRO;802;28;29
GONZANAMÁ;GONZANAMÁ;2.883;72;40
GONZANAMÁ;CHANGAIMINA;2.402;104;23
GONZANAMÁ;NAMBACOLA;4.257;297;14
GONZANAMÁ;PURUNUMA;986;97;10
GONZANAMÁ;SACAPALCA;1.719;111;15
MACARÁ;MACARÁ;15.235;369;41
MACARÁ;LARAMA;985;90;11
MACARÁ;LA VICTORIA;1.361;69;20
MACARÁ;SABIANGO;634;45;14
PALTAS;CATACOCHA;12.129;441;27
PALTAS;CANGONAMÁ;991;48;21
PALTAS;GUACHANAMÁ;2.406;279;9
PALTAS;LAURO GUERRERO;1.680;98;17
PALTAS;ORIANGA;1.586;180;9
PALTAS;SAN ANTONIO;1.077;35;31
PALTAS;CASANGA;1.735;52;33
PALTAS;YAMANA;1.237;22;56
PUYANGO;ALAMOR;8.987;241;37
